SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MSL,LATITUDE,LONGITUDE
PAST SALE,Single Family Residential,11379 NW Paulson Ln,Portland,OR,97229,745000,4,3.5,Iron Ridge Park,4968,9583,1993,1683,150,38,Sold,http://www.redfin.com/OR/Portland/11379-NW-Paulson-Ln-97229/home/56335556,RMLS,16035103,45.5390697,-122.7937243
PAST SALE,Townhouse,3602 SW Corbett Ave,Portland,OR,97239,467000,4,2.5,JOHNS LANDING,2328,2178,1994,1079,201,117,Sold,http://www.redfin.com/OR/Portland/3602-S-Corbett-Ave-97239/home/26599345,RMLS,18413081,45.4970451,-122.675637
PAST SALE,Townhouse,16379 NW Morello Way,Portland,OR,97229,389995,3,2.5,ORCHARDS AT ABBEY CREEK,1426,1742,2020,418,273,127,Sold,http://www.redfin.com/OR/PORTLAND/16379-NW-MORELLO-WAY-97229/home/161340278,RMLS,20598420,45.571512,-122.845671
PAST SALE,Single Family Residential,7484 NW 163rd Ter,Portland,OR,97229,549995,5,3.5,ORCHARDS AT ABBEY CREEK,2680,3920,2019,778,205,55,Sold,http://www.redfin.com/OR/Portland/7484-NW-163rd-Ter-97229/home/161340237,RMLS,19123340,45.57376,-122.844876
PAST SALE,Townhouse,16336 NW Ernst St,Portland,OR,97229,386410,3,2.5,ORCHARDS AT ABBEY CREEK,1426,1742,2020,372,271,127,Sold,http://www.redfin.com/OR/Portland/16336-NW-Ernst-St-97229/home/161340263,RMLS,20500216,45.5717811,-122.8453666
PAST SALE,Townhouse,16312 NW Ernst St,Portland,OR,97229,429995,3,2.5,ORCHARDS AT ABBEY CREEK,1562,2613,2020,401,275,125,Sold,http://www.redfin.com/OR/Portland/16312-NW-Ernst-St-97229/home/161340267,RMLS,20582399,45.5717796,-122.8451099
PAST SALE,Single Family Residential,2833 SE 45th Ave Unit A,Portland,OR,97206,575000,3,2,RICHMOND / DIVISION,1095,3049,1951,40,525,40,Sold,http://www.redfin.com/OR/Portland/2833-SE-45th-Ave-97206/unit-A/home/26454900,RMLS,21319788,45.5020888,-122.616419
PAST SALE,Townhouse,7316 NW 164th Ave,Portland,OR,97229,429995,3,2.5,ORCHARDS AT ABBEY CREEK,1562,2178,2020,522,275,125,Sold,http://www.redfin.com/OR/Portland/7316-NW-164th-Ave-97229/home/161340243,RMLS,20140577,45.5726136,-122.8461625
PAST SALE,Single Family Residential,8403 NW Hazeltine St,Portland,OR,97229,1025000,4,3.5,RIDGEVIEW/ Forest Heights,4905,11761,1999,1499,209,26,Sold,http://www.redfin.com/OR/Portland/8403-NW-Hazeltine-St-97229/home/26531520,RMLS,17502112,45.5367863,-122.7633388
PAST SALE,Townhouse,16427 NW Ernst St,Portland,OR,97229,384995,3,2.5,ORCHARDS AT ABBEY CREEK,1426,1742,2019,583,270,127,Sold,http://www.redfin.com/OR/Portland/16427-NW-Ernst-St-97229/home/161340300,RMLS,19441628,45.5721679,-122.8469186
PAST SALE,Townhouse,16162 NW Reliance Ln,Portland,OR,97229,449995,3,2.5,Vineyards at Abbey Creek,1925,3049,2019,709,234,137,Sold,http://www.redfin.com/OR/Portland/16162-NW-Reliance-Ln-97229/home/161340697,RMLS,19596640,45.571494,-122.843802
PAST SALE,Townhouse,16164 NW Pristine Ln,Portland,OR,97229,468995,3,2.5,VINEYARDS AT ABBEY CREEK,1925,2178,2020,344,244,137,Sold,http://www.redfin.com/OR/Portland/16164-NW-Pristine-Ln-97229/home/161340662,RMLS,20137756,45.5708724,-122.8437996
PAST SALE,Townhouse,16180 NW Pristine Ln,Portland,OR,97229,441320,3,2.5,VINEYARDS AT ABBEY CREEK,1763,1742,2020,277,250,137,Sold,http://www.redfin.com/OR/Portland/16180-NW-Pristine-Ln-97229/home/161340665,RMLS,20147210,45.5708725,-122.8439699
PAST SALE,Townhouse,16133 NW Reliance Ln,Portland,OR,97229,445000,3,2.5,VINEYARDS AT ABBEY CREEK,1925,2613,2020,424,231,135,Sold,http://www.redfin.com/OR/Portland/16133-NW-Reliance-Ln-97229/home/161340718,RMLS,20009472,45.571792,-122.843441
PAST SALE,Townhouse,30 Greenridge Ct,Lake Oswego,OR,97035,330000,2,1.5,Mt. Park Greenridge Townhomes,1928,2613,1969,1374,171,424,Sold,http://www.redfin.com/OR/Lake-Oswego/30-Greenridge-Ct-97035/home/26045127,RMLS,17061889,45.4308261,-122.7052047
PAST SALE,Townhouse,16159 NW Pristine Ln,Portland,OR,97229,459995,3,2.5,VINEYARDS AT ABBEY CREEK,1925,2613,2019,372,239,137,Sold,http://www.redfin.com/OR/Portland/16159-NW-Pristine-Ln-97229/home/161340673,RMLS,19343319,45.571172,-122.8436967
PAST SALE,Townhouse,16116 NW Pristine Ln,Portland,OR,97229,427995,3,2.5,VINEYARDS AT ABBEY CREEK,1763,1742,2020,320,243,135,Sold,http://www.redfin.com/OR/Portland/16116-NW-Pristine-Ln-97229/home/161340655,RMLS,20133183,45.5708717,-122.843147
PAST SALE,Single Family Residential,13343 SW 161st Pl,Tigard,OR,97223,400000,3,2.5,BULL MOUNTAIN MEADOWS,1707,5227,1994,1160,234,5,Sold,http://www.redfin.com/OR/Tigard/13343-SW-161st-Pl-97223/home/26635909,RMLS,18113791,45.4230799,-122.8425026
PAST SALE,Single Family Residential,14599 SW 163rd Ave,Tigard,OR,97224,485100,4,2.5,"Tigard, Tualatin, Sherwood, Wilsonville",2676,6969,2006,579,181,125,Sold,http://www.redfin.com/OR/Tigard/14599-SW-163rd-Ave-97224/home/26722791,RMLS,19160046,45.414295,-122.8447893
PAST SALE,Townhouse,7388 NW Elise Ave,Portland,OR,97229,388990,3,3.5,NW Washington Co or Sauvie Island,1625,2178,2020,404,239,213,Sold,http://www.redfin.com/OR/Portland/7388-NW-Elise-Ave-97229/home/161341074,RMLS,20240820,45.5731361,-122.8312404
PAST SALE,Single Family Residential,13728 NW Henninger Ln,Portland,OR,97229,655000,5,3,NW Washington Co or Sauvie Island,2679,5662,2004,843,244,28,Sold,http://www.redfin.com/OR/Portland/13728-NW-Henninger-Ln-97229/home/25851107,RMLS,19629036,45.5499532,-122.8182902
PAST SALE,Townhouse,15170 NW Fig Ln Unit L38,Portland,OR,97229,316990,2,2.5,BETHANY CREEK PARK,1371,871,2018,922,231,240,Sold,http://www.redfin.com/OR/North-Bethany/15170-NW-Fig-Ln-97229/unit-L38/home/148026462,RMLS,18317067,45.570117,-122.832872
PAST SALE,Single Family Residential,1603 NW Mayfield Rd,Portland,OR,97229,845000,5,3.5,FOREST HEIGHTS,4642,8712,1999,64,182,52,Sold,http://www.redfin.com/OR/Portland/1603-NW-Mayfield-Rd-97229/home/26519852,RMLS,21222645,45.534604,-122.7789407
PAST SALE,Single Family Residential,1722 NW Mill Pond Rd,Portland,OR,97229,1119000,6,3.5,Forest Heights,4734,9147,2000,25,236,52,Sold,http://www.redfin.com/OR/Portland/1722-NW-Mill-Pond-Rd-97229/home/26479850,RMLS,21001153,45.5358539,-122.7824707
PAST SALE,Single Family Residential,14587 SW Scarlett Pl,Tigard,OR,97224,575000,4,2.5,MOUNTAIN GATE,3190,11325,1987,1279,180,7,Sold,http://www.redfin.com/OR/Tigard/14587-SW-Scarlett-Dr-97224/home/26567627,RMLS,18229016,45.4142656,-122.8195585
