SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MSL,LATITUDE,LONGITUDE,geometry
PAST SALE,Single Family Residential,8741 SE Margie Way,Happy Valley,OR,97086,502000,4,2.5,FALLS/HAPPY VLY 2,2787,6969,2003,1436,180,38,Sold,http://www.redfin.com/OR/Happy-Valley/8741-SE-Margie-Way-97086/home/25847828,RMLS,17512280,45.458777000000005,-122.52546880000001,POINT (-13639472.79602313 5694038.026921456)
PAST SALE,Single Family Residential,9579 NW Ember Ln,Portland,OR,97229,490000,3,2.5,NW Washington Co or Sauvie Island,1739,3484,2010,239,282,57,Sold,http://www.redfin.com/OR/Portland/9579-NW-Ember-Ln-97229/home/26737768,RMLS,20698228,45.5275196,-122.7756452,POINT (-13667322.30547962 5704954.506375612)
PAST SALE,Single Family Residential,4686 NW Dresden Pl,Portland,OR,97229,575000,3,2.5,NW Washington Co or Sauvie Island,2279,3920,2005,355,252,25,Sold,http://www.redfin.com/OR/Portland/4686-NW-Dresden-Pl-97229/home/26729706,RMLS,20033891,45.5534891,-122.8071923,POINT (-13670834.11258763 5709081.992811406)
PAST SALE,Single Family Residential,10048 NW Fleetwood Dr,Portland,OR,97229,563000,4,2.5,CEDAR MILL,2004,5227,2000,845,281,8,Sold,http://www.redfin.com/OR/Portland/10048-NW-Fleetwood-Dr-97229/home/26711479,RMLS,19692373,45.5325929,-122.7803317,POINT (-13667844.00427323 5705760.686173446)
PAST SALE,Single Family Residential,9367 SE Emmert View Ct,Happy Valley,OR,97086,652000,5,3.5,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",3359,10018,2005,1436,194,70,Sold,http://www.redfin.com/OR/Happy-Valley/9367-SE-Emmert-View-Ct-97086/home/26061762,RMLS,17149792,45.457783500000005,-122.5659162,POINT (-13643975.37999504 5693880.354506941)
PAST SALE,Single Family Residential,11873 NW Maple Hill Ln,Portland,OR,97229,724900,4,2.5,Cedar Heights West,2662,4356,2015,29,272,37,Sold,http://www.redfin.com/OR/Portland/11873-NW-Maple-Hill-Ln-97229/home/112776072,RMLS,21122279,45.5361924,-122.7990504,POINT (-13669927.76042554 5706332.713834453)
PAST SALE,Single Family Residential,14897 SW Huntwood Ct,Tigard,OR,97224,527000,5,3.0,"Tigard, Tualatin, Sherwood, Wilsonville",3154,4791,2005,1347,167,33,Sold,http://www.redfin.com/OR/Tigard/14897-SW-Huntwood-Ct-97224/home/25733095,RMLS,17152264,45.4055052,-122.8301782,POINT (-13673392.89127105 5685587.495295261)
PAST SALE,Single Family Residential,13094 NW Corso Ln,Portland,OR,97229,750000,4,3.0,NW Washington Co or Sauvie Island,2720,6534,2002,30,276,43,Sold,http://www.redfin.com/OR/Portland/13094-NW-Corso-Ln-97229/home/26696630,RMLS,21519913,45.545269299999994,-122.8117504,POINT (-13671341.51795861 5707775.365086476)
PAST SALE,Single Family Residential,13339 NW Bertani St,Portland,OR,97229,960000,5,3.0,ARBOR HEIGHTS / Bethany,3519,5662,2007,26,273,143,Sold,http://www.redfin.com/OR/Portland/13339-NW-Bertani-St-97229/home/26671922,RMLS,21406122,45.5571161,-122.81439669999999,POINT (-13671636.1027271 5709658.605169215)
PAST SALE,Single Family Residential,5122 NW 133rd Ave,Portland,OR,97229,810000,4,2.5,Arbor Heights,3092,8712,2011,30,262,162,Sold,http://www.redfin.com/OR/Portland/5122-NW-133rd-Ave-97229/home/26603480,RMLS,21455198,45.5564765,-122.81325149999999,POINT (-13671508.61964624 5709556.920287194)
