SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MSL,LATITUDE,LONGITUDE,geometry,Groceries,Restaurants,Hospitals,Bars,Fuel stations,Public_transport,Parks,Schools,score,rank
PAST SALE,Single Family Residential,6461 NE Killingsworth Ct,Portland,OR,97218,280000,2,1.0,Portland Northeast,966,2178,2009,773,290,45,Sold,http://www.redfin.com/OR/Portland/6461-NE-Killingsworth-Ct-97218/home/25809256,RMLS,19581139,45.562284399999996,-122.5970114,POINT (-13647436.88182516 5710480.314264381),46,558,6,159,58,1440,179,110,5.6181013504566115,36
PAST SALE,Single Family Residential,6457 NE Killingsworth Ct,Portland,OR,97218,303000,2,1.0,CULLY,966,2178,2009,890,314,45,Sold,http://www.redfin.com/OR/Portland/6457-NE-Killingsworth-Ct-97218/home/25809267,RMLS,19299405,45.562300799999996,-122.5971211,POINT (-13647449.09357329 5710482.921824109),46,558,6,159,59,1440,179,109,5.613533906601558,37
PAST SALE,Single Family Residential,6451 NE Killingsworth Ct,Portland,OR,97218,310000,2,1.0,CULLY,966,2178,2009,344,321,45,Sold,http://www.redfin.com/OR/Portland/6451-NE-Killingsworth-Ct-97218/home/25817633,RMLS,20031935,45.5622945,-122.597237,POINT (-13647461.99550228 5710481.92013949),46,558,6,159,59,1439,179,109,5.609249929213212,38
PAST SALE,Single Family Residential,656 SW Stephenson St,Portland,OR,97219,1075000,4,3.0,"Portland West, Raleigh Hills",3518,9583,2019,613,306,83,Sold,http://www.redfin.com/OR/Portland/656-SW-Stephenson-St-97219/home/65636263,RMLS,19346407,45.4389463,-122.68599750000001,POINT (-13657342.76916484 5690891.341218877),31,198,7,36,48,1288,208,85,5.584490925119921,39
PAST SALE,Single Family Residential,8596 SE Constance Dr,Happy Valley,OR,97086,866500,4,3.5,Altamont North,5695,23958,2006,627,152,67,Sold,http://www.redfin.com/OR/Happy-Valley/8596-SE-Constance-Dr-97086/home/25754954,RMLS,19147131,45.4597203,-122.56312539999999,POINT (-13643664.70956013 5694187.734966806),39,267,4,79,58,1209,153,90,5.574729575745643,40
PAST SALE,Single Family Residential,925 SW Mozart Ter,Portland,OR,97225,450000,4,2.5,WEST HAVEN,1773,2178,2009,638,254,77,Sold,http://www.redfin.com/OR/Portland/925-SW-Mozart-Ter-97225/home/26555865,RMLS,19494633,45.5130657,-122.77126240000001,POINT (-13666834.41441537 5702658.087862532),37,354,9,54,46,1132,215,93,5.502719555726371,41
PAST SALE,Single Family Residential,689 SW Stephenson St,Portland,OR,97219,875000,3,2.5,Tryon Creek Estates,3818,10018,2016,683,229,42,Sold,http://www.redfin.com/OR/Portland/689-SW-Stephenson-St-97219/home/65636285,RMLS,19071558,45.4394989,-122.68641629999999,POINT (-13657389.38976758 5690979.011417842),31,200,7,36,48,1301,210,85,5.440021554607498,42
MLS Listing,Townhouse,28 NE 134th Pl,Portland,OR,97230,424900,4,3.0,HARTS CROSSING,1632,2178,2021,11,260,148,Active,http://www.redfin.com/OR/Portland/28-NE-134th-Pl-97230/home/171721090,RMLS,21643824,45.522696,-122.52436100000001,POINT (-13639349.47629123 5704188.072931631),39,265,3,89,59,1301,160,112,5.425437268027886,43
PAST SALE,Single Family Residential,8414 NW Gilliam Ln,Portland,OR,97229,651000,4,3.0,Forest Heights,2985,9147,2002,771,218,52,Sold,http://www.redfin.com/OR/Portland/8414-NW-Gilliam-Ln-97229/home/25814558,RMLS,19301295,45.531501,-122.7637845,POINT (-13666001.97839517 5705587.170142955),37,476,6,86,46,1111,240,87,5.397479241830012,44
PAST SALE,Single Family Residential,1930 NW Cedar Ridge Dr,Portland,OR,97229,943130,4,2.5,CEDAR RIDGE,4317,11761,2000,729,218,54,Sold,http://www.redfin.com/OR/Portland/1930-NW-Cedar-Ridge-Dr-97229/home/26602303,RMLS,19624591,45.5362102,-122.7603626,POINT (-13665621.05422962 5706335.542677306),38,530,5,109,44,1145,240,88,5.329585600691166,45
PAST SALE,Single Family Residential,8105 SW Kalay Ct,Portland,OR,97223,700000,5,2.5,"Portland West, Raleigh Hills",3161,8712,2007,319,221,29,Sold,http://www.redfin.com/OR/Portland/8105-SW-Kalay-Ct-97223/home/26671190,RMLS,20665342,45.4554971,-122.760244,POINT (-13665607.85173802 5693517.504256134),46,301,2,32,56,1232,241,94,5.325343615793653,46
PAST SALE,Single Family Residential,9367 SE Emmert View Ct,Happy Valley,OR,97086,652000,5,3.5,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",3359,10018,2005,1436,194,70,Sold,http://www.redfin.com/OR/Happy-Valley/9367-SE-Emmert-View-Ct-97086/home/26061762,RMLS,17149792,45.457783500000005,-122.5659162,POINT (-13643975.37999504 5693880.354506941),41,268,4,73,59,1219,156,91,5.280994219556845,47
PAST SALE,Single Family Residential,8412 NW Hawkins Blvd,Portland,OR,97229,909900,4,3.5,Forest Heights,4267,9583,2003,1747,213,49,Sold,http://www.redfin.com/OR/Portland/8412-NW-Hawkins-Blvd-97229/home/26576115,RMLS,16001317,45.5332885,-122.7639178,POINT (-13666016.81728329 5705871.227128568),37,462,4,85,45,1108,241,85,5.265625808602746,48
PAST SALE,Single Family Residential,1287 SW Ophelia St,Portland,OR,97219,890000,4,2.5,TRYON HIGHLANDS,3135,13503,2013,309,284,63,Sold,http://www.redfin.com/OR/Portland/1287-SW-Ophelia-St-97219/home/49681033,RMLS,20173339,45.4367853,-122.69302859999999,POINT (-13658125.46763655 5690548.505995531),32,207,6,32,46,1236,220,87,5.26522568651554,49
PAST SALE,Single Family Residential,9358 SW Chopin Ln,Portland,OR,97225,610000,3,2.5,"Portland West, Raleigh Hills",2567,3484,2016,835,238,77,Sold,http://www.redfin.com/OR/Portland/9358-SW-Chopin-Ln-97225/home/101102303,RMLS,19114076,45.5126615,-122.77304540000002,POINT (-13667032.89706746 5702593.87752344),33,308,7,40,45,1116,218,91,5.233858393073463,50
