SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-13-2017,Single Family Residential,2301 SE 105th Ave,Portland,OR,97216,290000,3,2,Portland Southeast,1031,5227,1943,1391,281,,Sold,,,http://www.redfin.com/OR/Portland/2301-SE-105th-Ave-97216/home/26347784,RMLS,17187384,N,Y,45.5060634,-122.5548985
PAST SALE,November-17-2016,Single Family Residential,6205 NE 18th Ave,Portland,OR,97211,356000,2,1,Portland Northeast,950,4791,1934,1752,375,,Sold,,,http://www.redfin.com/OR/Portland/6205-NE-18th-Ave-97211/home/25814773,RMLS,16450191,N,Y,45.5676128,-122.6473157
PAST SALE,March-5-2019,Single Family Residential,7105 SE 66th Ave,Portland,OR,97206,324000,3,1.5,Portland Southeast,1293,8712,1947,914,251,,Sold,,,http://www.redfin.com/OR/Portland/7105-SE-66th-Ave-97206/home/26485542,RMLS,19272730,N,Y,45.4716933,-122.5954336
PAST SALE,August-10-2021,Single Family Residential,13209 NW Lombardy Dr,Portland,OR,97229,911000,5,3,NW Washington Co or Sauvie Island,3810,6534,2017,25,239,50,Sold,,,http://www.redfin.com/OR/Portland/13209-NW-Lombardy-Dr-97229/home/101101863,RMLS,21254912,N,Y,45.5615772,-122.8131387
PAST SALE,March-9-2017,Vacant Land,0 SE Oatfield Rd,Milwaukie,OR,97267,100000,,,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",,30927,,1640,,,Sold,,,http://www.redfin.com/OR/Milwaukie/0-SE-Oatfield-RD-97267/home/174565074,RMLS,14127961,N,Y,45.40116,-122.607823
PAST SALE,,Vacant Land,SW SHERWOOD PL,PORTLAND,OR,97201,75000,,,,,10500,,,,,,,,http://www.redfin.com/OR/PORTLAND/SW-SHERWOOD-PL-97201/home/49692916,,,N,Y,45.500856,-122.700024
PAST SALE,,Single Family Residential,1104 SE 52nd Ave,Portland,OR,97215,800000,3,1.5,,2189,7440,1886,,365,,,,,http://www.redfin.com/OR/Portland/1104-SE-52nd-Ave-97215/home/26400601,,,N,Y,45.5152215,-122.6090307
PAST SALE,September-5-2019,Single Family Residential,2342 NW Belgrave Ave,Portland,OR,97210,640000,3,2.5,"Portland West, Raleigh Hills",1194,6098,2001,730,536,,Sold,,,http://www.redfin.com/OR/Portland/2342-NW-Belgrave-Ave-97210/home/26599032,RMLS,19154743,N,Y,45.5390163,-122.7230061
PAST SALE,November-22-2017,Condo/Co-op,2245 SW Park Pl Unit 1A,Portland,OR,97205,350000,2,2,"Portland West, Raleigh Hills",980,,1983,1382,357,597,Sold,,,http://www.redfin.com/OR/Portland/2245-SW-Park-Pl-97205/unit-1A/home/26321862,RMLS,17377882,N,Y,45.5214829,-122.6977855
PAST SALE,July-27-2021,Single Family Residential,1023 NE Oneonta St,Portland,OR,97211,630000,4,2.5,Portland Northeast,1856,3484,2008,39,339,,Sold,,,http://www.redfin.com/OR/Portland/1023-NE-Oneonta-St-97211/home/25762187,RMLS,21312872,N,Y,45.5730766,-122.6551711
PAST SALE,March-14-2018,Single Family Residential,1402 SW 58th Ave,Portland,OR,97221,929000,4,3.5,SYLVAN HIGHLANDS,3360,13068,2017,1270,276,,Sold,,,http://www.redfin.com/OR/Portland/1402-SW-58th-Ave-97221/home/49696077,RMLS,17448683,N,Y,45.5126107,-122.7368505
PAST SALE,December-1-2017,Single Family Residential,6720 SE 85th Ave,Portland,OR,97266,276000,3,2,Lents,1446,5227,1956,1373,191,,Sold,,,http://www.redfin.com/OR/Portland/6720-SE-85th-Ave-97266/home/26403683,RMLS,17046822,N,Y,45.4736015,-122.575595
PAST SALE,February-23-2018,Single Family Residential,7480 SE Woodstock Blvd,Portland,OR,97206,425000,3,2.5,Portland Southeast,1486,2178,2016,1289,286,,Sold,,,http://www.redfin.com/OR/Portland/7480-SE-Woodstock-Blvd-97206/home/103400563,RMLS,18304600,N,Y,45.479408,-122.585883
PAST SALE,March-23-2021,Townhouse,16093 NW Hildago Ln,Portland,OR,97229,425000,3,2.5,Arbor Parc,1479,1742,2007,165,287,233,Sold,,,http://www.redfin.com/OR/Portland/16093-NW-Hildago-Ln-97229/home/25774056,RMLS,21454159,N,Y,45.5557792,-122.842762
PAST SALE,July-20-2021,Single Family Residential,13736 SE Lincoln Ct,Portland,OR,97233,420000,3,2.5,HAZELWOOD,1696,7840,1972,46,248,,Sold,,,http://www.redfin.com/OR/Portland/13736-SE-Lincoln-Ct-97233/home/25866389,RMLS,21634212,N,Y,45.5069029,-122.5220258
PAST SALE,September-18-2020,Single Family Residential,11895 NW Hibbard Dr Lot 88,Portland,OR,97229,685219,4,3,THOMPSON WOODS - WHH,2466,,2020,351,278,87,Sold,,,http://www.redfin.com/OR/Portland/11895-NW-Hibbard-Dr-97229/home/161340350,RMLS,20396891,N,Y,45.550126,-122.802781
PAST SALE,July-12-2021,Condo/Co-op,715 NW Falling Waters Ln #302,Portland,OR,97229,384900,2,2,NW Washington Co or Sauvie Island,1277,,2007,54,301,303,Sold,,,http://www.redfin.com/OR/Portland/715-NW-Falling-Waters-Ln-97229/unit-302/home/26604976,RMLS,21453914,N,Y,45.526223,-122.7991827
PAST SALE,,Single Family Residential,9025 SE 42nd Ave,Milwaukie,OR,97222,700000,3,2.5,,3788,14925,1960,,185,,,,,http://www.redfin.com/OR/Milwaukie/9025-SE-42nd-Ave-97222/home/26025091,,,N,Y,45.4575172,-122.6205164
PAST SALE,January-30-2017,Condo/Co-op,1500 SW 5th Ave #1401,Portland,OR,97201,425000,2,2,PORTLAND DOWNTOWN,1319,,1973,1678,322,742,Sold,,,http://www.redfin.com/OR/Portland/1500-SW-5th-Ave-97201/unit-1401/home/26517124,RMLS,16028331,N,Y,45.5131376,-122.6802246
PAST SALE,,Single Family Residential,8807 N Wayland Ave,Portland,OR,97203,366500,2,1,,816,5000,1950,,449,,,,,http://www.redfin.com/OR/Portland/8807-N-Wayland-Ave-97203/home/26335427,,,N,Y,45.5863198,-122.7115257
